allin	allin 
ariyá	ari @@yá 
arí	arí 
asikun	asi @@ku @@n 
asikullan	asi @@ku @@lla @@n 
aswan	aswan 
atuqsi	atuq @@si 
atuq	atuq 
atuqqa	atuq @@qa 
atuqmasinkuna	atuq @@masi @@n @@kuna 
atuqchakunata	atuq @@cha @@kuna @@ta 
atuqllataqa	atuq @@lla @@ta @@qa 
atuqkunatam	atuq @@kuna @@ta @@m 
atuqchaqa	atuq @@cha @@qa 
aypan	aypa @@n 
bellido	bellido 
bellidomantaqa	bellido @@manta @@qa 
bellidomantam	bellido @@manta @@m 
chaymi	chay @@mi 
chay	chay 
chaypim	chay @@pi @@m 
chayqa	chay @@qa 
chaytaqa	chay @@ta @@qa 
chayaptinqa	chaya @@pti @@n @@qa 
chayna	chayna 
chaynam	chayna @@m 
chika	chika 
chiqap	chiqap 
chirita	chiri @@ta 
chulla	chulla 
churana	chura @@na 
dedicasqaymanta	dedica @@sqa @@y @@manta 
dedicani	dedica @@ni 
dedicasaq	dedica @@saq 
dibuhunkunantin	dibuhu @@n @@kuna @@ntin 
dilubyu	dilubyu 
facepirqanpi	facepirqa @@n @@pi 
facepirqachan	facepirqa @@cha @@n 
Franciapim	Francia @@pi @@m 
ha	ha 
haykaptaq	hayka @@p @@taq 
hudirquni	hudi @@rqu @@ni 
hudirquwanchik	hudi @@rqu @@wa @@nchik 
hudiykuwachkanchikmi	hudi @@yku @@wa @@chka @@nchik @@mi 
hudirquwanñam	hudi @@rqu @@wa @@n @@ña @@m 
huk	huk 
ichaqa	icha @@qa 
imanasqam	ima @@na @@sqa @@m 
imataña	ima @@ta @@ña 
imaman	ima @@man 
intindichikuq	intindi @@chi @@ku @@q 
iskay	iskay 
kasqa	ka @@sqa 
kasqataqsi	ka @@sqa @@taq @@si 
karqa	ka @@rqa 
kachkaspanpas	ka @@chka @@spa @@n @@pas 
kaptinmi	ka @@pti @@n @@mi 
kanchu	ka @@n @@chu 
kaspaqa	ka @@spa @@qa 
karqan	ka @@rqa @@n 
karqayku	ka @@rqa @@yku 
kallpakachan	kallpa @@ka @@cha @@n 
kamipaykunku	kami @@pa @@yku @@nku 
kamikuq	kami @@ku @@q 
karahu	karahu 
karay	karay 
kay	kay 
kaytapas	kay @@ta @@pas 
kayna	kayna 
kaynata	kayna @@ta 
kunrisistachakunamantachu	kunrisista @@cha @@kuna @@manta @@chu 
kunrisistu	kunrisistu 
kunrisistumantaqa	kunrisistu @@manta @@qa 
kunrisistumanta	kunrisistu @@manta 
kunrisumanqa	kunrisu @@man @@qa 
kuraq	kuraq 
kusikuywan	kusi @@ku @@y @@wan 
kusisqallaña	kusi @@sqa @@lla @@ña 
kutichipuwaypuni	kuti @@chi @@pu @@wa @@y @@puni 
kuwintu	kuwintu 
kuwintucha	kuwintu @@cha 
libruchata	libru @@cha @@ta 
librutaqa	libru @@ta @@qa 
libruchaqa	libru @@cha @@qa 
librucha	libru @@cha 
libruykiqa	libru @@yki @@qa 
libruchan	libru @@cha @@n 
librupi	libru @@pi 
likanaykamam	lika @@na @@y @@kama @@m 
liwru	liwru 
liwrukunamanpas	liwru @@kuna @@man @@pas 
liwruta	liwru @@ta 
llamka-llamkaq	llamka-llamka @@q 
llapallankumantas	llapa @@lla @@nku @@manta @@s 
llapa	llapa 
llapantin	llapa @@ntin 
llaqtaypi	llaqta @@y @@pi 
llaqtay	llaqta @@y 
llaqtayuq	llaqta @@yuq 
llullakunki	llulla @@ku @@nki 
llulla	llulla 
lluqllahinaña	lluqlla @@hina @@ña 
lluqsiq	lluqsi @@q 
luqlukuna	luqlu @@kuna 
luqlukunata	luqlu @@kuna @@ta 
luqluchu	luqlu @@chu 
luqlu	luqlu 
manam	mana @@m 
manaraqmi	mana @@raq @@mi 
mana	mana 
manaraq	mana @@raq 
maypitaq	may @@pi @@taq 
may	may 
muchuchkan	muchu @@chka @@n 
munasqanchikmanta	muna @@sqa @@nchik @@manta 
munaniraqchu	muna @@ni @@raq @@chu 
munachkaptinchikpas	muna @@chka @@pti @@nchik @@pas 
munasqay	muna @@sqa @@y 
muspaykachasqanmanta	muspa @@ykacha @@sqa @@n @@manta 
musyarqanim	musya @@rqa @@ni @@m 
nanarinankamas	nana @@ri @@na @@n @@kama @@s 
nispa	ni @@spa 
nispapas	ni @@spa @@pas 
nispanku	ni @@spa @@nku 
niq	ni @@q 
nirqani	ni @@rqa @@ni 
nisqaykumantam	ni @@sqa @@yku @@manta @@m 
nisqaykuna	ni @@sqa @@y @@kuna 
nillaykichiktaq	ni @@lla @@ykichik @@taq 
ñuqaqa	ñuqa @@qa 
ñuqa	ñuqa 
ñuqatapas	ñuqa @@ta @@pas 
ñuqanchikmanta	ñuqanchik @@manta 
pampachaykuwankichik	pampa @@cha @@yku @@wa @@nkichik 
paqarichisqa	paqari @@chi @@sqa 
parahina	para @@hina 
patachi	patachi 
patinti	patinti 
paysi	pay @@si 
payhina	pay @@hina 
paymanta	pay @@manta 
paypaq	pay @@paq 
paypa	pay @@pa 
paytaqa	pay @@ta @@qa 
paypas	pay @@pas 
pitaq	pi @@taq 
qari	qari 
qichu-qichunarikusparaq	qichu-qichu @@na @@ri @@ku @@spa @@raq 
qillqaq	qillqa @@q 
qillqan	qillqa @@n 
qillqakunawan	qillqa @@kuna @@wan 
qillqaykusqa	qillqa @@yku @@sqa 
qillqarqani	qillqa @@rqa @@ni 
qillqaqpa	qillqa @@q @@pa 
qillqasqa	qillqa @@sqa 
qullqiyta	qullqi @@y @@ta 
quñi	quñi 
quyllur	quyllur 
rakiwananchikpaq	raki @@wa @@na @@nchik @@paq 
rantiykarinku	ranti @@yka @@ri @@nku 
rantiykunku	ranti @@y @@ku @@nku 
rantichkaptillankus	ranti @@chka @@pti @@lla @@nku @@s 
rantiqkunapa	ranti @@q @@kuna @@pa 
rantiqkunaman	ranti @@q @@kuna @@man 
riki	riki 
rikurirqamun	riku @@ri @@rqa @@mu @@n 
rimapayakun	rima @@paya @@ku @@n 
rimasqachu	rima @@sqa @@chu 
rimasqankichu	rima @@sqa @@nki @@chu 
rimachkan	rima @@chka @@n 
rimachkani	rima @@chka @@ni 
rimayman	rima @@y @@man 
rimay	rima @@y 
rimaptiykipas	rima @@pti @@yki @@pas 
rimachkaspanpas	rima @@chka @@spa @@n @@pas 
rimarqani	rima @@rqa @@ni 
runa	runa 
runapaq	runa @@paq 
runaqa	runa @@qa 
runakunam	runa @@kuna @@m 
runasimilla	runasimi @@lla 
ruparusqaña	rupa @@ru @@sqa @@ña 
sallqa	sallqa 
sapan	sapa @@n 
simillatapas	simi @@lla @@ta @@pas 
simillapas	simi @@lla @@pas 
simiy	simi @@y 
simimanta	simi @@manta 
siñasllawan	siñas @@lla @@wan 
sinbirwinsa	sinbirwinsa 
sumaq	sumaq 
sunqunchananchik	sunqu @@n @@cha @@na @@nchik 
sunquykichikman	sunqu @@ykichik @@man 
supayllañas	supay @@lla @@ña @@s 
suwa	suwa 
suyla	suyla 
tantachallatas	tanta @@cha @@lla @@ta @@s 
tarikuchkaptinsi	tari @@ku @@chka @@pti @@n @@si 
taytallay	tayta @@lla @@y 
tikraqkuna	tikra @@q @@kuna 
tiyan	tiya @@n 
tukurparin	tuku @@rpa @@ri @@n 
tukuy	tuku @@y 
tuqyachiq	tuqya @@chi @@q 
tusun	tusu @@n 
utaq	u @@taq 
ukullanpaq	uku @@lla @@n @@paq 
unanchaq	unancha @@q 
upa	upa 
upam	upa @@m 
urnumanta	urnu @@manta 
usuchiyta	usu @@chi @@y @@ta 
uya	uya 
uyariqpas	uyari @@q @@pas 
wakillanmi	waki @@lla @@n @@mi 
wakinñataq	waki @@n @@ña @@taq 
wallpa	wallpa 
wampuchkaptinsi	wampu @@chka @@pti @@n @@si 
wawamanta	wawa @@manta 
wawakuna	wawa @@kuna 
wawakunapaq	wawa @@kuna @@paq 
wawam	wawa @@m 
wawamanmi	wawa @@man @@mi 
wawa	wawa 
wawqimasiyqa	wawqi @@masi @@y @@qa 
wiksallantas	wiksa @@lla @@n @@ta @@s 
yanukusqaypas	yanu @@ku @@sqa @@y @@pas 
yarqayta	yarqa @@y @@ta 
yaw	yaw 
yuyaysapam	yuya @@y @@sapa @@m 
yuyayñinqa	yuya @@y @@ñin @@qa 
yuyachkayku	yuya @@chka @@yku 
dedicatoriayta	dedicatoria @@y @@ta 
kayhinaman	kay @@hina @@man 
tukuchisaq	tuku @@chi @@saq 
kasqanta	ka @@sqa @@n @@ta 
yuyarispa	yuya @@ri @@spa 
suqta	suqta 
watayuqllaraq	wata @@yuq @@lla @@raq 
kachkaspa	ka @@chka @@spa 
dibuhutam	dibuhu @@ta @@m 
liwrupi	liwru @@pi 
rikurqani	riku @@rqa @@ni 
liwruqa	liwru @@qa 
yunka	yunka 
ukumantam	uku @@manta @@m 
rimarqan	rima @@rqa @@n 
kawsaymanta	kawsa @@y @@manta 
willakuykuna	willa @@ku @@y @@kuna 
nisqa	ni @@sqa 
sutiyuqmi	suti @@yuq @@mi 
liwrupiqa	liwru @@pi @@qa 
amarum	amaru @@m 
rikurirqan	riku @@ri @@rqa @@n 
animal	animal 
millpukuchkaq	millpu @@ku @@chka @@q 
kayhinam	kay @@hina @@m 
liwrupim	liwru @@pi @@m 
nirqan	ni @@rqa @@n 
amaruqa	amaru @@qa 
hinantintam	hina @@ntin @@ta @@m 
hapisqanta	hapi @@sqa @@n @@ta 
millpuykurqun	millpu @@yku @@rqu @@n 
kamuspalla	kamu @@spa @@lla 
chaymantataq	chay @@manta @@taq 
manañam	mana @@ña @@m 
kuyurinñachu	kuyu @@ri @@n @@ña @@chu 
hinaspa	hina @@spa 
killam	killa @@m 
puñun	puñu @@n 
chunchullñinpi	chunchull @@ñi @@n @@pi 
mikusqan	miku @@sqa @@n 
muyurinankama	muyu @@ri @@na @@n @@kama 
imaynach	imayna @@ch 
nispam	ni @@spa @@m 
ukupi	uku @@pi 
kawsaymantaqa	kawsa @@y @@manta @@qa 
yuyaykukuni	yuya @@yku @@ku @@ni 
chaymantaqa	chay @@manta @@qa 
dibuhuta	dibuhu @@ta 
ruraykuni	rura @@y @@ku @@ni 
kulurlapiswan	kulurlapis @@wan 
runakunamanmi	runa @@kuna @@man @@mi 
ancha	ancha 
dibuhuyta	dibuhu @@y @@ta 
rikuchini	riku @@chi @@ni 
dibuhuy	dibuhu @@y 
manchachisunkichu	mancha @@chi @@sunki @@chu 
paykunaqa	pay @@kuna @@qa 
niwan	ni @@wa @@n 
imaynataq	imayna @@taq 
sumbriruri	sumbriru @@ri 
manchachikuq	mancha @@chi @@ku @@q 
kanman	ka @@n @@man 
dibuhuyqa	dibuhu @@y @@qa 
sumbriruchu	sumbriru @@chu 
amarup	amaru @@p 
wiksan	wiksa @@n 
elefantem	elefante @@m 
riparaptinkum	ripara @@pti @@nku @@m 
wiksa	wiksa 
ukuntañataq	uku @@n @@ta @@ña @@taq 
dibuhani	dibuha @@ni 
imatapas	ima @@ta @@pas 
kuti kutitapunim	kuti kuti @@ta @@puni @@m 
paykunamanqa	pay @@kuna @@man @@qa 
rikuchina	riku @@chi @@na 
runakunaqa	runa @@kuna @@qa 
saqipuy	saqi @@pu @@y 
amaru	amaru 
dibuhasqaykikunata	dibuha @@sqa @@yki @@kuna @@ta 
kichasqa	kicha @@sqa 
kaqta	ka @@q @@ta 
wichqasqa	wichqa @@sqa 
kaqtapas	ka @@q @@ta @@pas 
aswanmi	aswan @@mi 
geografiamanta	geografia @@manta 
historiamanta	historia @@manta 
yupaymanta	yupa @@y @@manta 
gramaticamantapas	gramatica @@manta @@pas 
yachay	yacha @@y 
watayuqlla	wata @@yuq @@lla 
allin	alli @@n 
pintor	pintor 
kanayta	ka @@na @@y @@ta 
saqipuni	saqi @@puni 
kusirichiptinmi	kusi @@ri @@chi @@pti @@n @@mi 
manaña	mana @@ña 
dibuhayta	dibuha @@y @@ta 
munapuniñachu	muna @@puni @@ña @@chu 
manapunim	mana @@puni @@m 
paykunallamantaqa	pay @@kuna @@lla @@manta @@qa 
unanchanmanchu	unancha @@n @@man @@chu 
wawakunaqa	wawa @@kuna @@qa 
ñawin	ñawi @@n 
kicharichiyta	kicha @@ri @@chi @@y @@ta 
munaspa	muna @@spa 
saykunku	sayku @@nku 
chaymantam	chay @@manta @@m 
ñanta	ñan @@ta 
akllakupuni	aklla @@ku @@puni 
kunanqa	kunan @@qa 
avion	avion 
purichiq	puri @@chi @@q 
kani	ka @@ni 
pachantintam	pacha @@ntin @@ta @@m 
avionpi	avion @@pi 
pawarqani	pawa @@rqa @@ni 
geografia	geografia 
yachayqa	yacha @@y @@qa 
allinmi	alli @@n @@mi 
chaypaq	chay @@paq 
qawariyllapim	qawa @@ri @@y @@lla @@pim 
Chinapichu	China @@pi @@chu 
icha	icha 
Arizonapichu	Arizona @@pi @@chu 
kasqayta	ka @@sqa @@y @@ta 
yachakuni	yacha @@ku @@ni 
geografiata	geografia @@ta 
yachaspaqa	yacha @@spa @@qa 
tuta	tuta 
chinkaspapas	chinka @@spa @@pas 
ñanñinchikta	ñan @@ñi @@nchik @@ta 
tarillanchikmi	tari @@lla @@nchik @@mi 
purisqaykunapim	puri @@sqa @@y @@kuna @@pi @@m 
achka	achka 
yuyayñiyuq	yuya @@y @@ñi @@yuq 
runakunawan	runa @@kuna @@wan 
tinkuni	tinku @@ni 
unay	unay 
kuraqkunawan	kuraq @@kuna @@wan 
purispaymi	puri @@spa @@y @@mi 
sunqunkuta	sunqu @@nku @@ta 
yachani	yacha @@ni 
allinpuni	alli @@n @@puni 
niymanchu	ni @@y @@man @@chu 
paykunamantaqa	pay @@kuna @@manta @@qa 
ima	ima 
runawanpas	runa @@wan @@pas 
tinkuspaqa	tinku @@spa @@qa 
yachayñiyuqhina	yacha @@y @@ñi @@yuq @@hina 
kaptinqa	ka @@pti @@n @@qa 
ñawpaqñin	ñawpa @@q @@ñi @@n 
rikuchiqmi	riku @@chi @@q @@mi 
apallaqpunim	apa @@lla @@q @@puni @@m 
dibuhuykunataqa	dibuhu @@y @@kuna @@ta @@qa 
yachayñiyuqchuch	yacha @@y @@ñi @@yuq @@chu @@ch 
manachuch	mana @@chu @@ch 
chaytam	chay @@ta @@m 
yachayta	yacha @@y @@ta 
munaq	muna @@q 
tapusqay	tapu @@sqa @@y 
sumbrirum	sumbriru @@m 
nispallapunim	ni @@spa @@lla @@puni @@m 
niwaq	ni @@wa @@q 
amarumantapas	amaru @@manta @@pas 
yunkamantapas	yunka @@manta @@pas 
quyllurmantapas	quyllur @@manta @@pas 
rimapayapunichu	rima @@paya @@puni @@chu 
paykunahinam	pay @@kuna @@hina @@m 
rimaykuni	rima @@y @@ku @@ni 
pukllanamanta	puklla @@na @@manta 
nisqamantapas	ni @@sqa @@manta @@pas 
politicamantapas	politica @@manta @@pas 
anchata	ancha @@ta 
kusikun	kusi @@ku @@n 
amawtahina	amawta @@hina 
rimasqaymanta	rima @@sqa @@y @@manta 
hawa	hawa 
ayllukunapiqa	ayllu @@kuna @@pi @@qa 
tiyakun	tiya @@ku @@n 
thakniraqmi	thak @@ni @@raq @@mi 
manataqmi	mana @@taq @@mi 
llaqta	llaqta 
ukhupi	ukhu @@pi 
hinachu	hina @@chu 
lliw	lliw 
wisq'asqallaña	wisq'a @@sqa @@lla @@ña 
imapas	ima @@pas 
qullqillapaqña	qullqi @@lla @@paq @@ña 
chakrapi	chakra @@pi 
allpa	allpa 
ruruchiyñiykuta	ruru @@chi @@y @@ñi @@yku @@ta 
wasi	wasi 
uywakuna	uywa @@kuna 
uywakusqaykuta	uywa @@ku @@sqa @@yku @@ta 
imawan	ima @@wan 
munayta	muna @@y @@ta 
kawsayku	kawsa @@y @@ku 
chayrayku	chay @@rayku 
munasqaykumanhina	muna @@sqa @@yku @@man @@hina 
qhatukuyku	qhatu @@ku @@yku 
maypipas	may @@pi @@pas 
kanmi	ka @@n @@mi 
sasachakuykuna	sasa @@cha @@ku @@y @@kuna 
ñuqaykupaqpas	ñuqayku @@paq @@pas 
umalliqkuna	umalli @@q @@kuna 
qunqayakapun	qunqa @@ya @@ka @@pu @@n 
ruruchiqkunamanta	ruru @@chi @@q @@kuna @@manta 
hinallataq	hina @@lla @@taq 
huch'uy	huch'uy 
llamk'ay	llamk'a @@y 
llamk'aqkunamanta	llamk'a @@q @@kuna @@manta 
yachaykunapi	yacha @@y @@kuna @@pi 
kallpachay	kallpa @@cha @@y 
allinta	alli @@n @@ta 
llamk'asqayku	llamk'a @@sqa @@yku 
rururichinaykupaq	ruru @@ri @@chi @@na @@yku @@paq 
imaraykuchus	ima @@rayku @@chu @@s 
unquykuna	unqu @@y @@kuna 
haykurun	hayku @@ru @@n 
mikhuykunaman	mikhu @@y @@kuna @@man 
pacha	pacha 
aswanta	aswan @@ta 
unquyapushan	unqu @@ya @@pu @@sha @@n 
tiyasqaykuqa	tiya @@sqa @@yku @@qa 
allpakunaqa	allpa @@kuna @@qa 
wiraquchaqmi	wiraqucha @@q @@mi 
paytataqmi	pay @@ta @@taq @@mi 
nirqanku	ni @@rqa @@nku 
machulay	machula @@y 
taytay	tayta @@y 
mayqankunachus	mayqan @@kuna @@chu @@s 
wiñaykuna	wiña @@y @@kuna 
kaqkunaqa	kaq @@kuna @@qa 
paykunaq	pay @@kuna @@q 
chakrallanpi	chakra @@lla @@n @@pi 
llamk'aq	llamk'a @@q 
uywankutapas	uywa @@nku @@ta @@pas 
michillarqankutaq	michi @@lla @@rqa @@nku @@taq 
hacendadokuna	hacendado @@kuna 
uywanankupaq	uywa @@na @@nku @@paq 
hunt'aqkuchu	hunt'a @@q @@ku @@chu 
kamachikusqankuta	kama @@chi @@ku @@sqa @@nku @@ta 
p'anaqku	p'ana @@q @@ku 
paykunaman	pay @@kuna @@man 
qukuqchu	qu @@ku @@q @@chu 
k'irisqachus	k'iri @@sqa @@chu @@s 
kashan	ka @@sha @@n 
unqusqachus	unqu @@sqa @@chu @@s 
tarikun	tari @@ku @@n 
machulacha	machula @@cha 
chaymantapas	chay @@manta @@pas 
manchachiqku	mancha @@chi @@q @@ku 
allpakunamantan	allpa @@kuna @@manta @@n 
wikch'usayki	wikch'u @@sayki 
kaqñiqta	ka @@q @@ñi @@q @@ta 
kaqllataq	ka @@q @@lla @@taq 
munallaymantaq	muna @@lla @@y @@manta @@q 
kamachikuy	kama @@chi @@ku @@y 
wasikunapi	wasi @@kuna @@pi 
qhiswa	qhiswa 
